city,country,region
Hangzhou,China (Mainland),Asia
Atlanta,United States,North America
Glasgow,United Kingdom,Europe
Champaign,United States,North America
Taipei City,Taiwan,Asia
Buenos Aires,Argentina,Latin America
Durham,United Kingdom,Europe
Sheffield,United Kingdom,Europe
Sendai City,Japan,Asia
Zürich,Switzerland,Europe
Birmingham,United Kingdom,Europe
Copenhagen,Denmark,Europe
Leuven,Belgium,Europe
Nottingham,United Kingdom,Europe
Pohang ,South Korea,Asia
Chapel Hill,United States,North America
Auckland,New Zealand,Oceania
Seoul,South Korea,Asia
Houston,United States,North America
Kuala Lumpur,Malaysia,Asia
Columbus,United States,North America
Moscow,Russia,Europe
Perth,Australia,Oceania
Lund,Sweden,Europe
Boston,United States,North America
Leeds,United Kingdom,Europe
University Park,United States,North America
Southampton,United Kingdom,Europe
St. Andrews,United Kingdom,Europe
Hefei,China (Mainland),Asia
Eindhoven,Netherlands,Europe
West Lafayette,United States,North America
Suwon,South Korea,Asia
Davis,United States,North America
St. Louis,United States,North America
Stockholm,Sweden,Europe
Dublin,Ireland,Europe
Hong Kong,Hong Kong SAR,Asia
Seoul,South Korea,Asia
Geneva,Switzerland,Europe
Edmonton,Canada,North America
Helsinki,Finland,Europe
Nagoya,Japan,Asia
Kongens Lyngby,Denmark,Europe
Mexico City,Mexico,Latin America
Adelaide,Australia,Oceania
Los Angeles,United States,North America
Karlsruhe,Germany,Europe
Uppsala,Sweden,Europe
São Paulo,Brazil,Latin America
London,United Kingdom,Europe
Groningen,Netherlands,Europe
Berlin,Germany,Europe
Leiden,Netherlands,Europe
Nanjing,China (Mainland),Asia
Utrecht,Netherlands,Europe
Wageningen,Netherlands,Europe
Fukuoka City,Japan,Asia
College Park,United States,North America
Gothenburg,Sweden,Europe
Sapporo,Japan,Asia
Berlin,Germany,Europe
Lancaster,United Kingdom,Europe
Santiago,Chile,Latin America
Santa Barbara,United States,North America
York,United Kingdom,Europe
Oslo,Norway,Europe
Pittsburgh,United States,North America
Saint-Aubin,France,Europe
Ghent,Belgium,Europe
Bern,Switzerland,Europe
Espoo,Finland,Europe
East Lansing,United States,North America
Newcastle upon Tyne,United Kingdom,Europe
Aachen,Germany,Europe
Cardiff,United Kingdom,Europe
Hamilton,Canada,North America
Berlin,Germany,Europe
Atlanta,United States,North America
Montreal,Canada,North America
Lausanne,Switzerland,Europe
Seoul,South Korea,Asia
Lyon,France,Europe
Jerusalem,Israel,Asia
Exeter,United Kingdom,Europe
Milan,Italy,Europe
Minneapolis,United States,North America
Bath,United Kingdom,Europe
Madrid,Spain,Europe
Basel,Switzerland,Europe
Haymarket,Australia,Oceania
Mumbai,India,Asia
Hsinchu City,Taiwan,Asia
Waterloo,Canada,North America
Liverpool,United Kingdom,Europe
Louvain-la-Neuve,Belgium,Europe
Barcelona,Spain,Europe
Pisa,Italy,Europe
Tübingen,Germany,Europe
Irvine,United States,North America
Bangalore,India,Asia
Bergen,Norway,Europe
New Delhi,India,Asia
Aberdeen,United Kingdom,Europe
Enschede,Netherlands,Europe
Pisa,Italy,Europe
Vienna,Austria,Europe
Dunedin,New Zealand,Oceania
Monterrey,Mexico,Latin America
Rotterdam,Netherlands,Europe
Bologna,Italy,Europe
Gainesville,United States,North America
Hanover,United States,North America
Bangi,Malaysia,Asia
Rochester,United States,North America
Cleveland,United States,North America
Freiburg im Breisgau,Germany,Europe
Brussels,Belgium,Europe
Dhahran,Saudi Arabia,Asia
Boulder,United States,North America
Dresden,Germany,Europe
Charlottesville,United States,North America
Barcelona,Spain,Europe
Dublin,Ireland,Europe
Reading,United Kingdom,Europe
Nashville,United States,North America
Göttingen,Germany,Europe
Tokyo,Japan,Asia
Vienna,Austria,Europe
Stockholm,Sweden,Europe
Cape Town,South Africa,Africa
Seri Kembangan,Malaysia,Asia
Galveston,United States,North America
Nijmegen,Netherlands,Europe
Campinas,Brazil,Latin America
Madrid,Spain,Europe
Gelugor,Malaysia,Asia
Hsinchu City,Taiwan,Asia
Santiago,Chile,Latin America
Tokyo,Japan,Asia
Maastricht,Netherlands,Europe
Phoenix,United States,North America
Notre Dame,United States,North America
Chicago,United States,North America
Callaghan,Australia,Oceania
London,Canada,North America
Rome,Italy,Europe
Loughborough,United Kingdom,Europe
Wollongong,Australia,Oceania
Almaty,Kazakhstan,Asia
Paris,France,Europe
"Kelburn, Wellington",New Zealand,Oceania
Hamburg,Germany,Europe
Antwerp,Belgium,Europe
Leicester,United Kingdom,Europe
Washington D.C.,United States,North America
Brighton,United Kingdom,Europe
Skudai,Malaysia,Asia
Calgary,Canada,North America
Tel Aviv,Israel,Asia
Jeddah,Saudi Arabia,Asia
Christchurch,New Zealand,Oceania
Amsterdam,Netherlands,Europe
Tainan City,Taiwan,Asia
Saint Petersburg,Russia,Europe
Egham,United Kingdom,Europe
Beirut ,Lebanon,Asia
Medford,United States,North America
Kingston,Canada,North America
Brussels,Belgium,Europe
Pamplona,Spain,Europe
Miami,United States,North America
Novosibirsk ,Russia,Europe
Brisbane,Australia,Oceania
Tucson,United States,North America
Haifa,Israel,Asia
Guildford,United Kingdom,Europe
Padua,Italy,Europe
Perth,Australia,Oceania
Sydney,Australia,Oceania
Melbourne,Australia,Oceania
Darmstadt,Germany,Europe
Madrid,Spain,Europe
Bonn,Germany,Europe
Riyadh,Saudi Arabia,Asia
Taipei City,Taiwan,Asia
Wuhan,China (Mainland),Asia
Amherst,United States,North America
Galway,Ireland,Europe
Stuttgart,Germany,Europe
Tsukuba City,Japan,Asia
Paris,France,Europe
Chennai,India,Asia
Burnaby,Canada,North America
Magill,Australia,Oceania
Glasgow,United Kingdom,Europe
Norwich,United Kingdom,Europe
Gothenburg,Sweden,Europe
Bangkok,Thailand,Asia
Bogotá,Colombia,Latin America
Dundee,United Kingdom,Europe
Hamilton ,New Zealand,Oceania
Bogotá,Colombia,Latin America
Barcelona,Spain,Europe
Hong Kong,Hong Kong SAR,Asia
Tomsk,Russia,Europe
Halifax,Canada,North America
Raleigh,United States,North America
Frankfurt,Germany,Europe
Innsbruck,Austria,Europe
Kanpur,India,Asia
New Brunswick,United States,North America
Harbin,China (Mainland),Asia
Turku,Finland,Europe
Hobart,Australia,Oceania
London,United Kingdom,Europe
Grenoble,France,Europe
Ottawa,Canada,North America
Shanghai,China (Mainland),Asia
Beijing,China (Mainland),Asia
Taipei City,Taiwan,Asia
Depok,Indonesia,Asia
Kharagpur,India,Asia
Guangzhou,China (Mainland),Asia
Paris,France,Europe
Barcelona,Spain,Europe
Moscow,Russia,Europe
Erlangen,Germany,Europe
Paris,France,Europe
Edinburgh,United Kingdom,Europe
Linköping,Sweden,Europe
Honolulu,United States,North America
Cachan,France,Europe
London,United Kingdom,Europe
Cologne,Germany,Europe
Taipei City,Taiwan,Asia
Geelong,Australia,Oceania
València,Spain,Europe
New York City,United States,North America
Dolgoprudny,Russia,Europe
Buffalo,United States,North America
Xi'an,China (Mainland),Asia
Gwangju,South Korea,Asia
Abu Dhabi,United Arab Emirates,Asia
Prague,Czech Republic,Europe
Lincoln,New Zealand,Oceania
Seoul,South Korea,Asia
Tilburg,Netherlands,Europe
Higashihiroshima City,Japan,Asia
Tartu,Estonia,Europe
Bloomington,United States,North America
Bandar Seri Begawan,Brunei,Asia
Milan,Italy,Europe
Boston,United States,North America
Jena,Germany,Europe
Porto,Portugal,Europe
Nathan,Australia,Oceania
Moscow,Russia,Europe
Münster,Germany,Europe
Palmerston North,New Zealand,Oceania
Doha,Qatar,Asia
Ulm,Germany,Europe
Santa Cruz,United States,North America
Jyväskylä,Finland,Europe
Tianjin,China (Mainland),Asia
Umeå,Sweden,Europe
Mannheim,Germany,Europe
Cork,Ireland,Europe
Blacksburg,United States,North America
Aalborg,Denmark,Europe
Moscow,Russia,Europe
Ashburn,United States,North America
Troy,United States,North America
Salt Lake City,United States,North America
Strasbourg,France,Europe
Stony Brook,United States,North America
Al Ain,United Arab Emirates,Asia
London,United Kingdom,Europe
Kobe City,Japan,Asia
Tokyo,Japan,Asia
Minsk,Belarus,Europe
Moscow,Russia,Europe
Colchester,United Kingdom,Europe
Paris,United Kingdom,Europe
Lisbon ,Portugal,Europe
Bandung,Indonesia,Asia
Victoria,Canada,North America
Rio de Janeiro,Brazil,Latin America
Taipei City,Taiwan,Asia
Trondheim,Norway,Europe
Graz,Austria,Europe
Tampere,Finland,Europe
Pilar,Argentina,Latin America
Lawrence,United States,North America
Townsville,Australia,Oceania
Buenos Aires,Argentina,Latin America
Tromsø,Norway,Europe
Bochum,Germany,Europe
Storrs,United States,North America
St. Gallen,Switzerland,Europe
Sharjah,United Arab Emirates,Asia
Newton,United States,North America
Oulu,Finland,Europe
Odense,Denmark,Europe
Nakhon Pathom,Thailand,Asia
Birmingham,United Kingdom,Europe
Roorkee,India,Asia
Johannesburg,South Africa,Africa
Buenos Aires,Argentina,Latin America
Riverside,United States,North America
Quezon City,Philippines,Asia
Seoul,South Korea,Asia
Turin,Italy,Europe
Melbourne,Australia,Oceania
Winston-Salem,United States,North America
Yogyakarta,Indonesia,Asia
Arlon,Belgium,Europe
Pullman,United States,North America
Nur-Sultan,Kazakhstan,Asia
Warsaw,Poland,Europe
London,United Kingdom,Europe
Seoul,South Korea,Asia
Melbourne,Australia,Oceania
Islamabad,Pakistan,Asia
Konstanz,Germany,Europe
Denver,United States,North America
Québec,Canada,North America
Kaohsiung City,Taiwan,Asia
St. Petersburg,Russia,Europe
Stellenbosch,South Africa,Africa
Lisbon,Portugal,Europe
Be'er Sheva,Israel,Asia
Mainz,Germany,Europe
Bogotá,Colombia,Latin America
Coimbra,Portugal,Europe
Krakow,Poland,Europe
New Orleans,United States,North America
Huesca,Spain,Europe
Ekaterinburg,Russia,Europe
Wuhan,China (Mainland),Asia
Taoyuan City,Taiwan,Asia
Islamabad,Pakistan,Asia
Stirling,United Kingdom,Europe
Knoxville,United States,North America
Cairo,Egypt,Africa
Buenos Aires,Argentina,Latin America
Dublin,Ireland,Europe
Shanghai,China (Mainland),Asia
Pisa,Italy,Europe
Montpellier,France,Europe
Chicago,United States,North America
Trento,Italy,Europe
Richardson,United States,North America
Waltham,United States,North America
Taoyuan City,Taiwan,Asia
Athens,United States,North America
Aberystwyth,United Kingdom,Europe
Seoul,South Korea,Asia
Tehran,"Iran, Islamic Republic of",Asia
Seoul,South Korea,Asia
Swansea,United Kingdom,Europe
Iowa City,United States,North America
Kazan,Russia,Europe
Newark,United States,North America
Detroit,United States,North America
Bandar Seri Begawan,Brunei,Asia
Gold Coast,Australia,Oceania
Nankai,China (Mainland),Asia
Athens,Greece,Europe
Moscow,Russia,Europe
Abha,Saudi Arabia,Asia
Istanbul,Turkey,Asia
Fort Collins,United States,North America
Corvallis,United States,North America
Muscat,Oman,Asia
Kiel,Germany,Europe
Marseille,France,Europe
Baltimore,United States,North America
Ankara,Turkey,Asia
Kunitachi City,Japan,Asia
Linz,Austria,Europe
Gyeonggi,South Korea,Asia
Yokohama City,Japan,Asia
Worcester,United States,North America
Saarbrücken,Germany,Europe
Saskatoon,Canada,North America
Auckland,New Zealand,Oceania
Beijing,China (Mainland),Asia
Chiba City,Japan,Asia
Montreal,Canada,North America
Almaty,Kazakhstan,Asia
São Paulo,Brazil,Latin America
Madrid,Spain,Europe
Szeged,Hungary,Europe
Tallahassee,United States,North America
Guwahati,India,Asia
Naples,Italy,Europe
Changchun,China (Mainland),Asia
Moscow,Russia,Europe
Xiamen,China (Mainland),Asia
Adelaide,Australia,Oceania
Lyon,France,Europe
Shymkent,Kazakhstan,Asia
Almaty,Kazakhstan,Asia
Alcalá de Henares,Spain,Europe
Kuopio,Finland,Europe
Kharkiv,Ukraine,Europe
Toronto,Canada,North America
New Delhi,India,Asia
Vilnius,Lithuania,Europe
Ames,United States,North America
Talence,France,Europe
Beijing,China (Mainland),Asia
SÃ£o Paulo,Brazil,Latin America
Milan,Italy,Europe
Albuquerque,United States,North America
Granada,Spain,Europe
Stuttgart,Germany,Europe
Norman,United States,North America
Tehran,"Iran, Islamic Republic of",Asia
Milperra,Australia,Oceania
Braunschweig,Germany,Europe
Beirut,Lebanon,Asia
Beijing,China (Mainland),Asia
Philadelphia,United States,North America
Shanghai,China (Mainland),Asia
Washington D.C.,United States,North America
Bethlehem,United States,North America
Saratov,Russia,Europe
Busan,South Korea,Asia
Istanbul,Turkey,Asia
San Jose,Costa Rica,Latin America
Florence,Italy,Europe
Ulsan,South Korea,Asia
St. Petersburg,Russia,Europe
Kumamoto City,Japan,Asia
Okayama City,Japan,Asia
Nanjing,China (Mainland),Asia
Havana,Cuba,Latin America
Santiago,Chile,Latin America
Rome,Italy,Europe
Bremen,Germany,Europe
Limerick,Ireland,Europe
Giza,Egypt,Africa
Würzburg,Germany,Europe
Lappeenranta ,Finland,Europe
Nagasaki City,Japan,Asia
Bogotá,Colombia,Latin America
Beijing,China (Mainland),Asia
Toulouse,France,Europe
Seri Iskandar,Malaysia,Asia
Tampa,United States,North America
Turku,Finland,Europe
Prague,Czech Republic,Europe
Shanghai,China (Mainland),Asia
New York,United States,North America
São Paulo,Brazil,Latin America
Rostov-on-Don,Russia,Europe
Kyiv,Ukraine,Europe
Montevideo,Uruguay,Latin America
Aveiro,Portugal,Europe
Burlington,United States,North America
Washington D.C.,United States,North America
Vladivostok,Russia,Europe
Osaka City,Japan,Asia
Jinan,China (Mainland),Asia
Guangzhou,China (Mainland),Asia
Makkah,Saudi Arabia,Asia
Barcelona,Spain,Europe
Québec,Canada,North America
Cincinnati,United States,North America
Incheon,South Korea,Asia
Giessen,Germany,Europe
Hanover,Germany,Europe
Ankara,Turkey,Asia
Lima,Peru,Latin America
Islamabad,Pakistan,Asia
Syracuse,United States,North America
Johannesburg,South Africa,Africa
Lexington,United States,North America
Lincoln,United States,North America
Dubai,United Arab Emirates,Asia
Thessaloniki,Greece,Europe
Indianapolis,United States,North America
Kanazawa,Japan,Asia
Graz,Austria,Europe
Halle,Germany,Europe
Taipei City,Taiwan,Asia
València,Spain,Europe
Pretoria,South Africa,Africa
Columbia,United States,North America
Istanbul,Turkey,Asia
Jeonju,South Korea,Asia
Coventry,United Kingdom,Europe
Dalian,China (Mainland),Asia
Brno,Czech Republic,Europe
Sarajevo,Bosnia and Herzegovina,Europe
Tokyo,Japan,Asia
Turin,Italy,Europe
Regensburg,Germany,Europe
Paris ,France,Europe
Williamsburg,United States,North America
Dammam,Saudi Arabia,Asia
Buenos Aires,Argentina,Latin America
Seoul,South Korea,Asia
Huixquilucan,Mexico,Latin America
Santiago de Compostela,Spain,Europe
Pavia,Italy,Europe
Leipzig,Germany,Europe
Guelph,Canada,North America
Boston,United States,North America
Eugene,United States,North America
Vilnius ,Lithuania,Europe
Chuncheon,South Korea,Asia
Kingston upon Thames,United Kingdom,Europe
Houghton,United States,North America
Murdoch,Australia,Oceania
Salamanca,Spain,Europe
Buenos Aires,Argentina,Latin America
Beirut,Lebanon,Asia
Bradford,United Kingdom,Europe
Hull,United Kingdom,Europe
Hyderabad,India,Asia
Columbia,United States,North America
Mons,Belgium,Europe
Barnaul,Russia,Europe
Ramat Gan,Israel,Asia
Norman Gardens,Australia,Oceania
New York City,United States,North America
Potsdam,United States,North America
Tehran,"Iran, Islamic Republic of",Asia
Kolkata,India,Asia
Kagoshima City,Japan,Asia
Keele,United Kingdom,Europe
Lanzhou,China (Mainland),Asia
Byblos,Lebanon,Asia
Hong Kong,Hong Kong SAR,Asia
Nizhny Novgorod,Russia,Europe
Taipei City,Taiwan,Asia
Kyiv,Ukraine,Europe
Osaka City,Japan,Asia
Marburg,Germany,Europe
Rio de Janeiro,Brazil,Latin America
Newark,United States,North America
Chengdu,China (Mainland),Asia
Northampton,United States,North America
Tallinn,Estonia,Europe
Subang Jaya,Malaysia,Asia
Bangkok,Thailand,Asia
Seville,Spain,Europe
Leioa,Spain,Europe
La Plata,Argentina,Latin America
Belo Horizonte,Brazil,Latin America
Porto Alegre,Brazil,Latin America
Bayreuth,Germany,Europe
Duisburg,Germany,Europe
Potsdam,Germany,Europe
Villeurbanne,France,Europe
Fribourg,Switzerland,Europe
Sintok,Malaysia,Asia
Bruce,Australia,Oceania
Debrecen,Hungary,Europe
Amman,Jordan,Asia
Winnipeg,Canada,North America
Milan,Italy,Europe
Plymouth,United Kingdom,Europe
Portsmouth,United Kingdom,Europe
Tampere,Finland,Europe
Coleraine,United Kingdom,Europe
London,United Kingdom,Europe
Richmond,United States,North America
Warsaw,Poland,Europe
Worcester,United States,North America
Suwon,South Korea,Asia
Quezon City,Philippines,Asia
Brno,Czech Republic,Europe
Ottawa,Canada,North America
Casuarina,Australia,Oceania
Chiang Mai,Thailand,Asia
Beijing,China (Mainland),Asia
Gwangju,South Korea,Asia
Karaganda,Kazakhstan,Asia
Gifu City,Japan,Asia
Jounieh,Lebanon,Asia
Ciudad de México,Mexico,Latin America
Mexico City,Mexico,Latin America
Kuala Lumpur,Malaysia,Asia
Maslak-Istanbul,Turkey,Asia
Irbid,Jordan,Asia
Almaty,Kazakhstan,Asia
Almaty,Kazakhstan,Asia
Daegu,South Korea,Asia
Baton Rouge,United States,North America
St. John's,Canada,North America
Athens,Greece,Europe
Taichung City,Taiwan,Asia
Niigata City,Japan,Asia
Bandung,Indonesia,Asia
Seoul,South Korea,Asia
Dallas,United States,North America
Hoboken,United States,North America
Philadelphia,United States,North America
Tokyo,Japan,Asia
Concepción,Chile,Latin America
Buenos Aires,Argentina,Latin America
Sherbrooke,Canada,North America
Nice,France,Europe
Albany,United States,North America
Baghdad,Iraq,Asia
Heraklion,Greece,Europe
Denver,United States,North America
Haifa,Israel,Asia
Houston,United States,North America
Ljubljana,Slovenia,Europe
Braga,Portugal,Europe
Seoul,South Korea,Asia
Sharjah,United Arab Emirates,Asia
Windsor,Canada,North America
Laramie,United States,North America
Melbourne,Australia,Oceania
Abu Dhabi,United Arab Emirates,Asia
Nancy,France,Europe
Cairo,Egypt,Africa
Klagenfurt,Austria,Europe
Bogor,Indonesia,Asia
Poole,United Kingdom,Europe
Daejeon,South Korea,Asia
Clemson,United States,North America
Seoul,South Korea,Asia
Budapest,Hungary,Europe
Atlanta,United States,North America
Maebashi,Japan,Asia
Changsha,China (Mainland),Asia
Lahore,Pakistan,Asia
Maynooth,Ireland,Europe
Rolla,United States,North America
Kharkiv,Ukraine,Europe
Newcastle upon Tyne,United Kingdom,Europe
Samara,Russia,Europe
Shanghai,China (Mainland),Asia
Dortmund,Germany,Europe
Lubbock,United States,North America
Santiago,Chile,Latin America
Medellin,Colombia,Latin America
Quito,Ecuador,Latin America
Mexico City,Mexico,Latin America
São Paulo,Brazil,Latin America
Ferrara,Italy,Europe
Genoa,Italy,Europe
Siena,Italy,Europe
Trieste,Italy,Europe
Bielefeld,Germany,Europe
Düsseldorf,Germany,Europe
Rostock,Germany,Europe
Rennes,France,Europe
Kajang,Malaysia,Asia
Tuscaloosa,United States,North America
Brescia,Italy,Europe
London,United Kingdom,Europe
Huddersfield,United Kingdom,Europe
Kufa,Iraq,Asia
Patras,Greece,Europe
Pécs,Hungary,Europe
Tehran,"Iran, Islamic Republic of",Asia
Tulsa,United States,North America
Ho Chi Minh City,Vietnam,Asia
Yamaguchi City,Japan,Asia
Yokohama City,Japan,Asia
Dubai,United Arab Emirates,Asia
Surabaya,Indonesia,Asia
Chennai,India,Asia
Beijing,China (Mainland),Asia
Beijing,China (Mainland),Asia
Beijing,China (Mainland),Asia
Bratislava,Slovakia,Europe
Islamabad,Pakistan,Asia
Dublin,Ireland,Europe
Joondalup,Australia,Oceania
Manhattan,United States,North America
Karaganda,Kazakhstan,Asia
Kaunas,Lithuania,Europe
Kent,United States,North America
London,United Kingdom,Europe
London,United Kingdom,Europe
Manipal,India,Asia
London,United Kingdom,Europe
Nagoya,Japan,Asia
Newark,United States,North America
Stillwater,United States,North America
Salzburg ,Austria,Europe
Valparaíso,Chile,Latin America
Riga,Latvia,Europe
Bratislava,Slovakia,Europe
Tokyo,Japan,Asia
Sumy,Ukraine,Europe
Kagurazaka,Japan,Asia
Mexico City,Mexico,Latin America
Caracas,Venezuela,Latin America
Guadalajara,Mexico,Latin America
Cholula,Mexico,Latin America
Heredia,Costa Rica,Latin America
Mexico City,Mexico,Latin America
Lisbon,Portugal,Europe
Brasília,Brazil,Latin America
Florianópolis,Brazil,Latin America
Venice,Italy,Europe
Perugia,Italy,Europe
Shah Alam,Malaysia,Asia
Orlando,United States,North America
Chengdu,China (Mainland),Asia
Hatfield,United Kingdom,Europe
Pinetown,South Africa,Africa
Durham,United States,North America
Salford,United Kingdom,Europe
Toowoomba,Australia,Oceania
Poznań,Poland,Europe
Krakow,Poland,Europe
Ajman,United Arab Emirates,Asia
Ifranne,Morocco,Africa
Cairo,Egypt,Africa
Alexandria,Egypt,Africa
Iași,Romania,Europe
Aligarh,India,Asia
Riyadh,Saudi Arabia,Asia
Noida,India,Asia
Amritapuri,India,Asia
Ankara,Turkey,Asia
Tokyo,Japan,Asia
Asyut,Egypt,Africa
Athens,Greece,Europe
Auburn,United States,North America
Melbourne,Australia,Oceania
Cluj-Napoca,Romania,Europe
Baku,Azerbaijan,Asia
Varanasi,India,Asia
Dhaka,Bangladesh,Asia
Waco,United States,North America
Minsk,Belarus,Europe
Puebla,Mexico,Latin America
Binghamton,United States,North America
Pilani,India,Asia
Birzeit,"Palestinian Territory, Occupied",Asia
Provo,United States,North America
Budapest,Hungary,Europe
Thurgoona,Australia,Oceania
Chongqing,China (Mainland),Asia
Budapest,Hungary,Europe
Krakow,Poland,Europe
Manila,Philippines,Asia
Semarang,Indonesia,Asia
Kyoto,Japan,Asia
Edinburgh,United Kingdom,Europe
Guayaquil,Ecuador,Latin America
Taichung City,Taiwan,Asia
Miami,United States,North America
New York City,United States,North America
New Taipei City,Taiwan,Asia
Ankara,Turkey,Asia
Fairfax,United States,North America
Ankara,Turkey,Asia
Istanbul,Turkey,Asia
Bangkok,Thailand,Asia
Almaty,Kazakhstan,Asia
Khon Kaen,Thailand,Asia
Hofuf,Saudi Arabia,Asia
Bangkok,Thailand,Asia
Kuwait City,Kuwait,Asia
Kyoto,Japan,Asia
Kitakyushu,Japan,Asia
Lodz,Poland,Europe
Chicago,United States,North America
Manchester ,United Kingdom,Europe
Milwaukee,United States,North America
Tokyo,Japan,Asia
Oxford,United States,North America
Cyberjaya,Malaysia,Asia
Baghdad,Iraq,Asia
Minxiong Township,Taiwan,Asia
Toruń,Poland,Europe
Potchefstroom,South Africa,Africa
Nottingham,United Kingdom,Europe
Novosibirsk,Russia,Europe
Tokyo,Japan,Asia
Athens,United States,North America
Moscow,Russia,Europe
Quito,Ecuador,Latin America
Porto Alegre,Brazil,Latin America
Hat Yai,Thailand,Asia
Grahamstown,South Africa,Africa
Riga,Latvia,Europe
Kyoto,Japan,Asia
Toronto,Canada,North America
Saitama City,Japan,Asia
San Diego ,United States,North America
Pune,India,Asia
Seoul,South Korea,Asia
Surabaya,Indonesia,Asia
Tehran,"Iran, Islamic Republic of",Asia
Matsumoto City,Japan,Asia
Shiraz,"Iran, Islamic Republic of",Asia
Krasnoyarsk,Russia,Europe
Sofia,Bulgaria,Europe
Chelyabinsk,Russia,Europe
Lismore,Australia,Oceania
Tallinn,Estonia,Europe
Košice,Slovakia,Europe
Cartago,Costa Rica,Latin America
Patiala,India,Asia
Aberdeen,United Kingdom,Europe
Hiratsuka City,Japan,Asia
Valdivia,Chile,Latin America
San Nicolás de los Garza,Mexico,Latin America
Toluca de Lerdo,Mexico,Latin America
Guayana City,Venezuela,Latin America
Ciudad Real,Spain,Europe
Montevideo,Uruguay,Latin America
Bogotá,Colombia,Latin America
Merida,Venezuela,Latin America
San Pedro Garza García,Mexico,Latin America
Murcia,Spain,Europe
Oviedo,Spain,Europe
San Juan,Puerto Rico,Latin America
Talca,Chile,Latin America
Valparaíso,Chile,Latin America
Barranquilla,Colombia,Latin America
Bogotá,Colombia,Latin America
Cali,Colombia,Latin America
Santiago,Chile,Latin America
Medellin,Colombia,Latin America
Bucaramanga,Colombia,Latin America
San José,Costa Rica,Latin America
Caracas,Venezuela,Latin America
Córdoba,Argentina,Latin America
Mendoza,Argentina,Latin America
Mar del Plata,Argentina,Latin America
Rosario,Argentina,Latin America
Santa Fe,Argentina,Latin America
Lima,Peru,Latin America
San Martin,Peru,Latin America
Madrid,Spain,Europe
Caracas,Venezuela,Latin America
Valparaíso,Chile,Latin America
Panama City,Panama,Latin America
Buenos Aires,Argentina,Latin America
A Coruña,Spain,Europe
Rio de Janeiro,Brazil,Latin America
Londrina,Brazil,Latin America
Salvador,Brazil,Latin America
Frederico Westphalen,Brazil,Latin America
Viçosa,Brazil,Latin America
Fortaleza,Brazil,Latin America
Curitiba,Brazil,Latin America
Recife,Brazil,Latin America
Rio de Janeiro,Brazil,Latin America
Catania,Italy,Europe
Modena,Italy,Europe
Rome,Italy,Europe
Palermo,Italy,Europe
Caen,France,Europe
Cergy,France,Europe
Nantes,France,Europe
Poitiers,France,Europe
Lyon,France,Europe
Lyon,France,Europe
Paris,France,Europe
Montpellier,France,Europe
Toulouse,France,Europe
Hillah,Iraq,Asia
Zallaq,Bahrain,Asia
Bari,Italy,Europe
Belgrade,Serbia,Europe
Malang ,Indonesia,Asia
Bucharest,Romania,Europe
Kolkata,India,Asia
Preston,United Kingdom,Europe
Horana,Sri Lanka,Asia
Dhaka,Bangladesh,Asia
Lahore,Pakistan,Asia
Gdańsk,Poland,Europe
Riga,Latvia,Europe
Lodz,Poland,Europe
Maribor,Slovenia,Europe
Oxford,United States,North America
Missoula ,United States,North America
Mumbai,India,Asia
Nairobi,Kenya,Africa
Armidale,Australia,Oceania
San Diego,United States,North America
San Francisco,United States,North America
Manila,Philippines,Asia
Katowice,Poland,Europe
Stockton,United States,North America
Lahore,Pakistan,Asia
Sunshine Coast,Australia,Oceania
Cape Town,South Africa,Africa
Wroclaw,Poland,Europe
Zagreb,Croatia,Europe
Bucharest,Romania,Europe
Toulouse,France,Europe
Logan,United States,North America
Vellore,India,Asia
Verona,Italy,Europe
Hanoi,Vietnam,Asia
Voronezh ,Russia,Europe
Kaunas,Lithuania,Europe
Timișoara,Romania,Europe
Wroclaw ,Poland,Europe
Gyeongsan,South Korea,Asia
Houston,United States,North America
Oslo,Norway,Europe
Vienna,Austria,Europe
Frederiksberg,Denmark,Europe
Bedford,United Kingdom,Europe
Cergy,France,Europe
Grenoble,France,Europe
Paris,France,Europe
Fontainebleau,France,Europe
New Delhi,India,Asia
Stockholm,Sweden,Europe
Thuwal,Saudi Arabia,Asia
London,United Kingdom,Europe
Milan,Italy,Europe
Compiègne,France,Europe
San Francisco,United States,North America
Prague,Czech Republic,Europe
Rehovot,Israel,Asia
Vallendar,Germany,Europe
Cambridge,United States,North America
Stanford,United States,North America
Cambridge,United States,North America
Oxford,United Kingdom,Europe
Pasadena,United States,North America
Zürich,Switzerland,Europe
Cambridge,United Kingdom,Europe
London,United Kingdom,Europe
London,United Kingdom,Europe
Chicago,United States,North America
Singapore,Singapore,Asia
Singapore,Singapore,Asia
Princeton,United States,North America
Ithaca,United States,North America
Philadelphia,United States,North America
Beijing,China (Mainland),Asia
New Haven,United States,North America
New York City,United States,North America
Lausanne,Switzerland,Europe
Edinburgh,United Kingdom,Europe
Ann Arbor,United States,North America
Beijing,China (Mainland),Asia
Tokyo,Japan,Asia
Baltimore,United States,North America
Durham,United States,North America
Hong Kong,Hong Kong SAR,Asia
Manchester,United Kingdom,Europe
Berkeley,United States,North America
Canberra,Australia,Oceania
Toronto,Canada,North America
Evanston,United States,North America
Hong Kong,Hong Kong SAR,Asia
London,United Kingdom,Europe
Kyoto,Japan,Asia
Montreal,Canada,North America
Los Angeles,United States,North America
Seoul,South Korea,Asia
Parkville,Australia,Oceania
